Date,Price,Open,High,Low,Vol.,Change %,,,,,Date,Price,Change %,Helper,Event Time
6/17/2019,936.83,937.52,940.3,936.14,174.52M,0.10%,,,,,2/5/2020,"1,020.57",0.50%,39,9
6/14/2019,935.89,932.37,937.73,931.76,,0.24%,,,,,2/6/2020,"1,018.97",-0.16%,38,10
6/13/2019,933.63,928.75,935.51,928.66,,0.90%,,,,,2/7/2020,"1,016.00",-0.29%,37,11
6/12/2019,925.32,925.21,929.68,923.93,,-0.11%,,,,,2/10/2020,"1,028.76",1.26%,36,12
6/11/2019,926.32,930.67,934.95,922.93,,0.33%,,,,,2/11/2020,"1,036.64",0.77%,35,13
6/10/2019,923.23,919.98,931.73,918.4,,1.05%,,,,,2/12/2020,"1,046.86",0.99%,34,14
6/7/2019,913.6,903.22,916.15,902.53,,1.58%,,,,,2/13/2020,"1,044.33",-0.24%,33,15
6/6/2019,899.4,894.37,901.77,890.95,,0.49%,,,,,2/14/2020,"1,042.54",-0.17%,32,16
6/5/2019,894.97,896.75,896.75,886.02,,0.44%,,,,,2/18/2020,"1,043.39",0.08%,31,17
6/4/2019,891.08,874.69,891.32,874.69,,2.63%,,,,,2/19/2020,"1,048.28",0.47%,30,18
6/3/2019,868.21,876.35,878.52,862.89,,-1.18%,,,,,2/20/2020,"1,048.16",-0.01%,29,19
5/31/2019,878.54,879.5,883.17,876.51,,-1.44%,,,,,2/21/2020,"1,031.02",-1.64%,28,20
5/30/2019,891.34,889.22,894.56,888.24,,0.51%,,,,,2/24/2020,994.64,-3.53%,27,21
5/29/2019,886.86,889.21,890.08,880.61,,-0.88%,,,,,2/25/2020,968.73,-2.60%,26,22
5/28/2019,894.77,902.09,906.99,893.64,,-0.49%,,,,,2/26/2020,962.01,-0.69%,25,23
5/24/2019,899.17,902.95,904.58,895.52,,0.14%,,,,,2/27/2020,922.88,-4.07%,24,24
5/23/2019,897.92,903.01,903.01,893.27,,-1.34%,,,,,2/28/2020,915.77,-0.77%,23,25
5/22/2019,910.1,912.69,915.66,909.01,,-0.90%,,,,,3/2/2020,947.78,3.50%,22,26
5/21/2019,918.37,915.1,921.01,912.3,,0.57%,,,,,3/3/2020,925.78,-2.32%,21,27
5/20/2019,913.17,913.76,915.92,909.09,,-0.69%,,,,,3/4/2020,957.38,3.41%,20,28
5/17/2019,919.56,921.02,931.62,919.15,,-0.80%,,,,,3/5/2020,921.33,-3.77%,19,29
5/16/2019,926.99,921.2,932.57,921.2,,1.00%,,,,,3/6/2020,908.3,-1.41%,18,30
5/15/2019,917.78,905.75,919.8,903.64,,0.78%,,,,,,,,,
5/14/2019,910.67,906.52,915.65,901.82,,0.87%,,,,,,,,,
5/13/2019,902.79,913.81,913.81,899.58,,-2.95%,,,,,,,,,
5/10/2019,930.2,928.12,934.62,913.39,,0.05%,,,,,,,,,
5/9/2019,929.78,926.46,932.89,919.24,,-0.43%,,,,,,,,,
5/8/2019,933.77,932.6,939.54,929.48,,-0.07%,,,,,,,,,
5/7/2019,934.39,942.43,944.86,927.07,,-1.46%,,,,,,,,,
5/6/2019,948.21,939.38,950.07,938.16,,-0.64%,,,,,,,,,
5/3/2019,954.28,950.71,955.88,948.43,,1.40%,,,,,,,,,
5/2/2019,941.13,942.31,945.63,934.52,,-0.03%,,,,,,,,,
5/1/2019,941.37,953.54,953.98,941.28,,-1.13%,,,,,,,,,
4/30/2019,952.14,951.88,953.32,944.84,,-0.20%,,,,,,,,,
4/29/2019,954.06,957.18,958.2,953.06,,-0.35%,,,,,,,,,
4/26/2019,957.39,953.51,957.39,946.41,,0.93%,,,,,,,,,
4/25/2019,948.6,953.63,953.63,945.4,,-0.48%,,,,,,,,,
4/24/2019,953.13,954.14,958.01,952.85,,-0.03%,,,,,,,,,
4/23/2019,953.4,944.29,955.4,943.85,,1.22%,,,,,,,,,
4/22/2019,941.93,940.46,944.78,937.75,,-0.22%,,,,,,,,,
4/18/2019,943.97,945.41,946.56,941.47,,-0.05%,,,,,,,,,
4/17/2019,944.47,945.74,947.96,943.88,,0.19%,,,,,,,,,
4/16/2019,942.64,940.56,944.11,940.56,,0.48%,,,,,,,,,
4/15/2019,938.16,936.42,938.62,931.75,,0.21%,,,,,,,,,
4/12/2019,936.24,934.21,938.18,934.21,,0.55%,,,,,,,,,
4/11/2019,931.13,930.9,931.42,928.74,,0.12%,,,,,,,,,
4/10/2019,929.98,927.12,930.15,923.5,,0.49%,,,,,,,,,
4/9/2019,925.47,930.85,930.9,923.98,,-0.90%,,,,,,,,,
4/8/2019,933.91,928.85,934.05,927.87,,0.39%,,,,,,,,,
