Date,Price,Open,High,Low,Vol.,Change %,,,Date,Price,Change %,Helper
6/25/2019,363.43,363.65,364.9,362.26,90.47M,0.00%,,,1/28/2020,371,0.98%,28
6/24/2019,363.43,361.79,364,360.59,94.41M,0.45%,,,1/29/2020,372.35,0.36%,27
6/21/2019,361.81,362.87,363.33,361.6,137.33M,-0.32%,,,1/30/2020,370.16,-0.59%,26
6/20/2019,362.98,361.16,363.77,359.95,98.57M,1.21%,,,1/31/2020,361.99,-2.21%,25
6/19/2019,358.65,360.55,360.79,356.63,97.11M,-0.47%,,,2/3/2020,369.72,2.14%,24
6/18/2019,360.33,358.54,362.97,358.54,107.99M,0.77%,,,2/4/2020,376.17,1.74%,23
6/17/2019,357.59,360.15,360.66,357.28,92.84M,-0.94%,,,2/5/2020,383.18,1.86%,22
6/14/2019,360.98,362.28,362.28,359.92,,-0.47%,,,2/6/2020,382.87,-0.08%,21
6/13/2019,362.68,361.27,363.06,361.27,,0.58%,,,2/7/2020,377.27,-1.46%,20
6/12/2019,360.6,359.72,361.11,359.15,,0.31%,,,2/10/2020,377.33,0.02%,19
6/11/2019,359.48,361.34,362.85,358.8,,-0.07%,,,2/11/2020,379.27,0.51%,18
6/10/2019,359.72,360.77,361.78,359.46,,0.14%,,,2/12/2020,381.26,0.52%,17
6/7/2019,359.2,357.46,360.41,357.37,,0.70%,,,2/13/2020,379.81,-0.38%,16
6/6/2019,356.7,353.21,357.18,352.22,,1.13%,,,2/14/2020,380.03,0.06%,15
6/5/2019,352.72,350.73,352.72,346.43,,0.78%,,,2/18/2020,379.17,-0.23%,14
6/4/2019,349.98,341.74,349.98,341.36,,2.76%,,,2/19/2020,379.92,0.20%,13
6/3/2019,340.58,331.59,340.58,330.41,,3.42%,,,2/20/2020,380.43,0.13%,12
5/31/2019,329.32,331.3,331.3,327.86,,-1.24%,,,2/21/2020,378.91,-0.40%,11
5/30/2019,333.44,332.57,334.83,332.4,,0.12%,,,2/24/2020,368.08,-2.86%,10
5/29/2019,333.05,331.96,333.53,329.65,,-0.06%,,,2/25/2020,352.25,-4.30%,9
5/28/2019,333.24,335.91,337.33,332.77,,-0.92%,,,2/26/2020,351.05,-0.34%,8
5/24/2019,336.33,336.9,337.97,334.66,,0.50%,,,2/27/2020,334.7,-4.66%,7
5/23/2019,334.66,337.44,337.44,333.1,,-1.53%,,,2/28/2020,330.67,-1.20%,6
5/22/2019,339.86,341.63,342.52,339.81,,-0.66%,,,3/2/2020,344.38,4.15%,5
